Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano_WithMountingHoles,1,Arduino_Nano_Every,
C1,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,4.7uF,
C2,C_Disc_D4.3mm_W1.9mm_P5.00mm,1,0.1uF,
C3,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,101,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT43,
J1,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J2,PinSocket_1x06_P2.54mm_Vertical,1,J2_Pi_01x06_Socket,
"JP1, JP2, JP5, JP6, JP7",PinHeader_1x02_P2.54mm_Vertical,5,Jumper_2_Open,
"Q1, Q2",TO-92_Inline,2,2N7000,
"R1, R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k,
"R10, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4k7,
"R11, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100k,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220R,
"R13, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,39k,
"R4, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,3k3,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k2,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Loop_D2.50mm_Drill1.0mm,7,TestPoint,
U1,XIAO-ESP32S3-DIP,1,XIAO-ESP32S3,
