Designator,Mid X,Mid Y,Rotation,Layer
A1,82.3,-86.25,90.0,top
C1,104.55,-71.99,270.0,top
C2,101.1,-71.99,270.0,top
C3,48.67,-42.02,180.0,top
D1,83.34,-42.06,180.0,top
D2,83.39,-46.54,0.0,top
J1,37.975,-65.55,0.0,top
J2,37.955,-46.72,180.0,top
JP1,49.18,-75.8,90.0,top
JP2,49.41,-82.67,90.0,top
JP3,50.4,-89.88,270.0,top
JP4,94.76,-40.01,180.0,top
JP5,107.97,-38.24,90.0,top
JP6,107.905,-43.1,90.0,top
JP7,117.825,-42.99,90.0,top
Q1,67.0998,-54.1412,90.0,top
Q2,53.96,-67.53,90.0,top
R1,83.32,-51.93,0.0,top
R10,83.55,-70.36,0.0,top
R11,83.58,-64.3,180.0,top
R12,50.05,-60.69,0.0,top
R13,91.91,-70.6,270.0,top
R14,70.86,-58.92,0.0,top
R15,59.51,-60.96,90.0,top
R2,49.98,-46.79,180.0,top
R3,70.27,-40.5,180.0,top
R4,122.14,-74.25,90.0,top
R5,49.95,-37.2,180.0,top
R6,118.32,-74.25,90.0,top
R7,83.42,-57.4,0.0,top
R8,50.08,-55.23,0.0,top
R9,70.83,-46.71,0.0,top
TP1,42.53,-59.19,0.0,top
TP2,60.2,-40.49,0.0,top
TP3,122.08,-64.05,0.0,top
TP4,44.64,-68.77,0.0,top
TP5,79.49,-36.86,0.0,top
TP6,60.2,-52.38,0.0,top
TP7,60.25,-46.69,0.0,top
U1,104.14,-56.69,270.0,top
