"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","470pF 100V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C2","1","1000uF 35V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3","1","470uF 16V","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","1N4148","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D2","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"D3","1","1N4007","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D4","1","1N5819","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D5","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"J1,J2,J3,J4,J5,J6,J7,J8","8","Conn_01x05","","","","Connector_JST:JST_VH_B5P-VH-B_1x05_P3.96mm_Vertical","~"
"J1_24V1","1","JST_VH_01x04","","","","Connector_JST:JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical","~"
"J1_CN1","1","JST_VH_01x03","","","","Connector_JST:JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical","~"
"J2_CN1,J3_CN1","2","JST_VH_01x02","","","","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical","~"
"L1_Inductor1","1","330uH","","","","Capacitor_THT:CP_Radial_D13.0mm_P7.50mm","~"
"Q1,Q2","2","DTC143E","","","","Package_TO_SOT_THT:TO-92_Inline",""
"R1","1","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","1k2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R4","1","6k2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1","0R22","","","","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"R6","1","1k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"U1","1","MC34063AP","","","","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF"
