Case,対象受注番号,VBA期待値,v0.10.2現状予測,判定ポイント
T01,E262074080,手配は印刷。1行目BODYをGray8マスク、2行目は通常表示,印刷するがマスクなし,1行目の背景マスク／手配が残ること
T02,E267027930,全明細検収済のため手配全体を印刷しない,印刷してしまう,ページが生成されないこと
T03A,E269073400,AS12に「▼Y受注金額注意▼」,AS12空欄,AS12警告
T03B,E269071660,1行目AS12に「▼Y受注金額注意▼」,AS12空欄,同一相手先・単価不一致の分岐
T04,E269073220,BJ12に「△▲△原価未入力▲△▲」,警告なし,正単価＋請求単価>0＋営業原価=0
T05,E269070670,BJ12に「△▲△売価未入力▲△▲」,警告なし,正単価＋請求単価=0＋営業原価>0
T06,E267060750,BJ12の売価未入力警告は空欄へ抑止,警告なし,99999900＋特別元払いの抑止条件
T07,E269074200,"AV5に「【一式金額 / 請求 : ￥100,000 / 経由 : ￥110,000/ 受注 : ￥120,000】」相当",AV5空欄,列183/184/186から複合文字列を生成
T08,E269072160,A2に「20日締」,A2が空欄相当,「め」除去後2文字未満→列247からfallback
T09,E269070750,仮単価のため売価未入力警告なし,警告なし,警告の負例
