工場番号,受注番号,受注行番号,受注伝票区分,得意先番号,納入先番号,需要家番号,受注日,最終出荷日,品目番号,品目名,型式,注文番号,製番,品目区分,売上担当者,出荷予定日,納期,受注数,単価単位,単位番号,単位名,引当数,単価,仮単価区分,貿易単価区分,金額,特記事項１,特記事項２,出荷数,完納区分,計画必要数,計画立案済数,生産計画立案日,管理部門,不明項目０１(制御項目のため日本語項目名なし）,照会項目,消費税率,通貨,通貨名,他社品番,他社品名,引当在庫場所,納入先名,郵便番号,住所１,住所２,住所３,電話番号,ＦＡＸ番号,輸送ＬＴ,図番,生産工場,レート,自国通貨名,自国通貨,自国金額,レート区分,単価表示ケタ,金額表示ケタ,自国金額表示ケタ,受注種別,登録日,更新日,販売部門,販売発注部門,販売発注番号,販売発注行番号,販売発注区分,登録日(SYSDATE),更新日(SYSDATE),会社コード,受注請書発行区分,受注確認書発行日,データ有効フラグ,ワークフロー区分,ワークフローパターン,フローパターンID,フロー選定条件,承認依頼番号,承認日,品目分類,品目分類名,取扱品目分類１,品目区分１名称,取扱品目分類２,品目区分２名称,取扱品目分類３,品目区分３名称,得意先分類１,得意先種別１名称,得意先分類２,得意先種別２名称,得意先分類３,得意先種別３名称,得意先分類４,得意先種別４名称,取引単位受注数,取引単位コード,取引単位,変換率分子（取引単位）,変換率分母（取引単位）,手配入力区分,版数,手動採番フラグ,請求先名,経由先番号１,経由先名１,経由先番号２,経由先名２,受注先番号,受注先名,経由先番号３,経由先名３,経由営業所番号,責任部門,定価印字区分,受領書発行区分,受注者,前納運送便コード,後納運送便コード,運賃コード,代表荷姿,発注者１,発注者２,発注者３,納期（ヘッダ）,特記事項（ヘッダ）,エンジン機種,KW出力,PS馬力,回転数,減速比,回転方向,クラッチ,基,軸,セット,船種,新船区,船名,船番,船主,造船所,検査,ペラ軸識別CD,回答希望日,回答予定日,回答日,回答者,出図依頼区分,出図依頼内容,出図完了区分,図面_販,図面_承,図面_確,図面_工,図面_振,図面_完,図面_ペ,部署_倉,部署_購,部署_外,部署_大,部署_小,部署_設,部署_検,部署_品,部署_ペ,部署_船,部署_資,部署_井,部署_電,部署_飯,部署_管,部署_出,参照見積番号,参照版数,参照手配書番号,一式計上区分,計上先区分,計上先_手配書番号,請求先_一式金額,経由先１_一式金額,経由先２_一式金額,受注先_一式金額,商品情報,検査番号,納期（明細）,製造日数,加工時間,商談状況,定価存在フラグ,定価,別作表示内容,請求先_仕切率,請求先_単価,請求先_金額,経由先１_仕切率,経由先１_単価,経由先１_金額,経由先２_仕切率,経由先２_単価,経由先２_金額,受注先_仕切率,受注先_単価,受注先_金額,営業原価_単価,営業原価_金額,製造原価_単価,製造原価_金額,経由先３_単価,送り先_単価,手配書発行日,手配書発行日（営業控）,軸径,長さ,厚み,寸法記号,定尺区分,溝区分,プロペラ_ダイヤ,プロペラ_ピッチ,プロペラ_回転方向,プロペラ_形状,プロペラ_材質,プロペラ_翼数,プロペラ_AR,プロペラ_軸径,プロペラ_加工,プロペラ_検査,入力者,粗利率,手配書番号複写フラグ,処理モード,I_SEQ,発注番号,手配担当者,発注先名,出荷番号,受注担当者名,品揃者,梱包者,運送便名,運賃名,発注担当者,得意先締め日,売上担当者,木箱,木枠,段ボール,縄締,パレット,小包,重量,出荷検収日,分納出荷数,出荷登録日(SYSDATE),出荷更新日(SYSDATE),得意先ランク,材料ランク,所属部署コード,地区コード,地区名称,県名,作表担当者,処理区分名,オペレーター名
FAC11       ,A269075600,1,0,28129300,28129300,            ,2026/9/15,20260915,KOU400                   ,#120 ｽｰﾊﾟｰﾃﾞｨｽｸ, , ,                       ,3,226304,2026/9/15,2026/9/15,36,0,1,個,0,1130,0,0,40680, , ,36,1,36,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,石黒造船　株式会社,238-0245,神奈川県三浦市海外町17-3, , ,0468-82-4510        ,0468-82-4511        ,0, ,FAC11       ,1,JPY ,JPY,40680,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 8:20,2026/9/15 16:31,            ,0,0,1,99,0,              ,        ,          ,0,30,　他社,35,艤装部品,900,その他,      , ,31,31日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,石黒造船　株式会社,            , ,            , ,28129300,石黒造船　株式会社,            , ,            ,B1905       ,0,0,304104,107,   ,3,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,0, ,1.25,1130,40680,,,,,,,1.25,1130,40680,900,32400,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,304104,20.4,0,1,438,,,,2609112607,佐藤　陽子,,,出張持込,特別元払い,,31,第５神奈川　石田,0,0,0,0,0,0,0,0,36,2026/9/15 16:31,2026/9/15 16:31,B     ,B,B1905       ,C10556055   ,第5/神奈川,神奈川,ALL,,
FAC11       ,A269075600,2,0,28129300,28129300,            ,2026/9/15,20260915,99999900,立替運賃, , ,                       ,99,226304,2026/9/15,2026/9/15,1,0,1,個,0,0,1,0,0, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,石黒造船　株式会社,238-0245,神奈川県三浦市海外町17-3, , ,0468-82-4510        ,0468-82-4511        ,0, ,FAC11       ,1,JPY ,JPY,0,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 8:20,2026/9/15 16:31,            ,0,0,1,99,0,              ,        ,          ,0,70,諸掛り,85,　運賃,900,その他,      , ,31,31日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,石黒造船　株式会社,            , ,            , ,28129300,石黒造船　株式会社,            , ,            ,B1905       ,0,0,304104,107,   ,3,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,0, ,1.1,0,0,,,,,,,1.1,0,0,0,0,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,304104,0,0,1,439,,,,2609112607,佐藤　陽子,,,出張持込,特別元払い,,31,第５神奈川　石田,0,0,0,0,0,0,0,0,1,2026/9/15 16:31,2026/9/15 16:31,B     ,B,B1905       ,C10556055   ,第5/神奈川,神奈川,ALL,,
FAC11       ,A269076410,1,0,26000246,19141217,            ,2026/9/15,20260915,KOUPP                    ,CMP24D 寺田 水中ﾎﾟﾝﾌﾟ用ｶｰﾎﾞﾝﾌﾞﾗｼ, , ,                       ,3,226004,2026/9/15,2026/9/15,4,0,1,個,0,0,1,0,0, , ,4,1,4,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,ヤンマー舶用システム（株）　東日本営業部　茨城支店,311-1301,茨城県東茨城郡大洗町磯浜町8253-51, , ,029-266-1631        ,029-266-1633        ,0, ,FAC11       ,1,JPY ,JPY,0,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 10:17,2026/9/15 10:19,            ,0,0,1,99,0,              ,        ,          ,0,30,　他社,40,ポンプ,900,その他,      , ,31,31日締め,      , ,      , ,      , ,0,1, ,1,1,1,0,0,ヤンマー舶用システム　株式会社　東日本営業部,19141217,ヤンマー舶用システム（株）　東日本営業部　茨城支店,            , ,19141217,ヤンマー舶用システム（株）　東日本営業部　茨城支店,            , ,            ,B1905       ,0,0,230007,147,   ,1,  ,TD26-73,ｶｴｲﾏﾙ, ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,嘉栄丸,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,0, ,1.2,0,0,1.25,0,0,,,,1.25,0,0,0,0,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,230007,0,0,1,440,2609249468,230007,株式会社　寺田ポンプ製作所,2609112297,川島　成喜,,,宅急便,立替元払い,川島　成喜,31,第７茨城　石田,0,0,0,0,0,0,0,0,4,2026/9/15 10:19,2026/9/15 10:19,M     ,T,B1905       ,C10557057   ,第7/茨城,東京,ALL,,
FAC11       ,A269076410,2,0,26000246,19141217,            ,2026/9/15,20260915,99999900,立替運賃, , ,                       ,99,226004,2026/9/15,2026/9/15,1,0,1,個,0,0,1,0,0, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,ヤンマー舶用システム（株）　東日本営業部　茨城支店,311-1301,茨城県東茨城郡大洗町磯浜町8253-51, , ,029-266-1631        ,029-266-1633        ,0, ,FAC11       ,1,JPY ,JPY,0,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 10:17,2026/9/15 10:19,            ,0,0,1,99,0,              ,        ,          ,0,70,諸掛り,85,　運賃,900,その他,      , ,31,31日締め,      , ,      , ,      , ,0,1, ,1,1,1,0,0,ヤンマー舶用システム　株式会社　東日本営業部,19141217,ヤンマー舶用システム（株）　東日本営業部　茨城支店,            , ,19141217,ヤンマー舶用システム（株）　東日本営業部　茨城支店,            , ,            ,B1905       ,0,0,230007,147,   ,1,  ,TD26-73,ｶｴｲﾏﾙ, ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,嘉栄丸,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,0, ,1.1,0,0,1.1,0,0,,,,1.1,0,0,0,0,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,230007,0,0,1,441,2609249469,230007,株式会社　寺田ポンプ製作所,2609112297,川島　成喜,,,宅急便,立替元払い,川島　成喜,31,第７茨城　石田,0,0,0,0,0,0,0,0,1,2026/9/15 10:19,2026/9/15 10:19,M     ,T,B1905       ,C10557057   ,第7/茨城,東京,ALL,,
FAC11       ,A269076560,1,0,28858302,28858303,            ,2026/9/15,20260915,NHK040B                  ,黒.日発ﾜｲﾔｰ 4  m(Nなし)S-75(M5), , ,                       ,3,226304,2026/9/15,2026/9/15,1,0,2,本,0,4880,0,0,4880, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,加藤マリンサービス,027-180,ﾔﾏﾄ宅急便 神奈川県 大磯ｾﾝﾀｰ止,着店ｺｰﾄﾞ:027-180, ,0463-61-4447        ,                    ,0, ,FAC11       ,1,JPY ,JPY,4880,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 10:36,2026/9/15 15:06,            ,0,0,1,99,0,              ,        ,          ,0,30,　他社,35,艤装部品,230,Ｅ艤装部品,      , ,20,20日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,加藤マリンサービス,            , ,            , ,28858302,加藤マリンサービス,            , ,            ,B1905       ,0,0,304104,147,   ,1,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,7290, ,0.67,4880,4880,,,,,,,0.67,4880,4880,3310,3310,2542,2542,,,20260915,0,,,, , , ,,, , , ,,,, , ,304104,32.2,0,1,442,,,,2609112510,佐藤　陽子,,,宅急便,立替元払い,,20,第５神奈川　石田,0,0,0,0,0,0,0,0,1,2026/9/15 15:06,2026/9/15 15:06,C     ,B,B1905       ,C10556055   ,第5/神奈川,神奈川,ALL,,
FAC11       ,A269076560,2,0,28858302,28858303,            ,2026/9/15,20260915,NHK045B                  ,黒.日発ﾜｲﾔｰ 4.5m(Nなし)S-75(M5), , ,                       ,3,226304,2026/9/15,2026/9/15,1,0,2,本,0,5220,0,0,5220, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,加藤マリンサービス,027-180,ﾔﾏﾄ宅急便 神奈川県 大磯ｾﾝﾀｰ止,着店ｺｰﾄﾞ:027-180, ,0463-61-4447        ,                    ,0, ,FAC11       ,1,JPY ,JPY,5220,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 10:36,2026/9/15 15:06,            ,0,0,1,99,0,              ,        ,          ,0,30,　他社,35,艤装部品,230,Ｅ艤装部品,      , ,20,20日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,加藤マリンサービス,            , ,            , ,28858302,加藤マリンサービス,            , ,            ,B1905       ,0,0,304104,147,   ,1,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,7790, ,0.67,5220,5220,,,,,,,0.67,5220,5220,3540,3540,2718,2718,,,20260915,0,,,, , , ,,, , , ,,,, , ,304104,32.2,0,1,443,,,,2609112510,佐藤　陽子,,,宅急便,立替元払い,,20,第５神奈川　石田,0,0,0,0,0,0,0,0,1,2026/9/15 15:06,2026/9/15 15:06,C     ,B,B1905       ,C10556055   ,第5/神奈川,神奈川,ALL,,
FAC11       ,A269076560,3,0,28858302,28858303,            ,2026/9/15,20260915,99999900,立替運賃, , ,                       ,99,226304,2026/9/15,2026/9/15,1,0,1,個,0,0,1,0,0, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,加藤マリンサービス,027-180,ﾔﾏﾄ宅急便 神奈川県 大磯ｾﾝﾀｰ止,着店ｺｰﾄﾞ:027-180, ,0463-61-4447        ,                    ,0, ,FAC11       ,1,JPY ,JPY,0,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 10:36,2026/9/15 15:06,            ,0,0,1,99,0,              ,        ,          ,0,70,諸掛り,85,　運賃,900,その他,      , ,20,20日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,加藤マリンサービス,            , ,            , ,28858302,加藤マリンサービス,            , ,            ,B1905       ,0,0,304104,147,   ,1,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,, ,        ,,0,0,  ,0,0, ,1.1,0,0,,,,,,,1.1,0,0,0,0,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,304104,0,0,1,444,,,,2609112510,佐藤　陽子,,,宅急便,立替元払い,,20,第５神奈川　石田,0,0,0,0,0,0,0,0,1,2026/9/15 15:06,2026/9/15 15:06,C     ,B,B1905       ,C10556055   ,第5/神奈川,神奈川,ALL,,
FAC11       ,A269077220,1,0,26000246,28360908,            ,2026/9/15,20260915,KOU400                   ,150A*150L 第三舶用工業 ﾋﾟｯﾀﾘｶﾊﾞｰ, , ,                       ,3,226304,2026/9/15,2026/9/15,2,0,1,個,0,31650,0,0,63300, , ,2,1,2,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,ケイマリンサービス,239-0813,神奈川県横須賀市鴨居2-27-2, , ,046-842-7541        ,                    ,0, ,FAC11       ,1,JPY ,JPY,63300,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 11:56,2026/9/15 15:07,            ,0,0,1,99,0,              ,        ,          ,0,30,　他社,35,艤装部品,900,その他,      , ,31,31日締め,      , ,      , ,      , ,0,1, ,1,1,1,0,0,ヤンマー舶用システム　株式会社　東日本営業部,26344700,ヤンマー舶用システム　株式会社　東日本営業部　東京支店,            , ,26344700,ヤンマー舶用システム　株式会社　東日本営業部　東京支店,            , ,            ,B1905       ,0,0,226304,147,   ,1,  ,ｹｲﾏﾘﾝS, , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,0,0,0, , ,,,,,0,      ,,,,          ,0, ,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,          ,0,A269077180,0, ,          ,0,0,0,0, ,        ,,0,0,  ,0,38000, ,1.2,31650,63300,1.25,32600,65200,,,,1.25,32600,65200,26100,52200,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,226004,17.5,0,1,445,2609249541,226304,ファットフィールド合同会社,2609112512,第５神奈川　石田,,,宅急便,立替元払い,第５神奈川　石田,31,第５神奈川　石田,0,0,0,0,0,0,0,0,2,2026/9/15 15:07,2026/9/15 15:07,M     ,T,B1905       ,C10556055   ,第5/神奈川,東京,ALL,,
FAC11       ,A269077220,2,0,26000246,28360908,            ,2026/9/15,20260915,99999900,立替運賃, , ,                       ,99,226304,2026/9/15,2026/9/15,1,0,1,個,0,0,1,0,0, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,ケイマリンサービス,239-0813,神奈川県横須賀市鴨居2-27-2, , ,046-842-7541        ,                    ,0, ,FAC11       ,1,JPY ,JPY,0,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 11:56,2026/9/15 15:07,            ,0,0,1,99,0,              ,        ,          ,0,70,諸掛り,85,　運賃,900,その他,      , ,31,31日締め,      , ,      , ,      , ,0,1, ,1,1,1,0,0,ヤンマー舶用システム　株式会社　東日本営業部,26344700,ヤンマー舶用システム　株式会社　東日本営業部　東京支店,            , ,26344700,ヤンマー舶用システム　株式会社　東日本営業部　東京支店,            , ,            ,B1905       ,0,0,226304,147,   ,1,  ,ｹｲﾏﾘﾝS, , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,0,0,0, , ,,,,,0,      ,,,,          ,0, ,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,          ,0,A269077180,0, ,          ,0,0,0,0, ,        ,,0,0,  ,0,0, ,1.1,0,0,1.1,0,0,,,,1.1,0,0,0,0,0,0,,,20260915,0,,,, , , ,,, , , ,,,, , ,226004,0,0,1,446,2609249542,226304,ファットフィールド合同会社,2609112512,第５神奈川　石田,,,宅急便,立替元払い,第５神奈川　石田,31,第５神奈川　石田,0,0,0,0,0,0,0,0,1,2026/9/15 15:07,2026/9/15 15:07,M     ,T,B1905       ,C10556055   ,第5/神奈川,東京,ALL,,
FAC11       ,A269077410,1,0,26718201,9999999999,            ,2026/9/15,20260915,38SH                     ,38SH 一体型ﾎｰｽ用海水こし器, , ,                       ,0,230308,2026/9/15,2026/9/15,1,0,1,個,0,27300,0,0,27300, , ,1,1,1,0,0,B3932       ,0,0,10,JPY ,JPY, , ,Z1905       ,㈱ジェイエスピー,444-0124,"愛知県額田郡幸田町深溝大角豆田1-6	", , ,0564-56-0012        ,                    ,0, ,FAC11       ,1,JPY ,JPY,27300,0,2,0,0,0,2026/9/15,2026/9/15,B1905       ,            ,          ,0,  ,2026/9/15 13:11,2026/9/15 13:11,            ,0,0,1,99,0,              ,        ,          ,0,10,　自社,35,艤装部品,180,海水こし器,      , ,31,31日締め,20,20,      , ,      , ,0,1, ,1,1,1,0,0,株式会社　ユニマットプレシャス　マリーン事業部,            , ,            , ,26718201,株式会社　ユニマットプレシャス　マリーン事業部,            , ,            ,B1905       ,0,0,230007,147,   ,1,  , , , ,2026/9/15, ,                    ,0,0,0,0, ,                    ,,,, , ,,,,,0,      ,,,,          ,0, ,0,,,,,,,,1,1,,,,,,,,,,,,,,,          ,0,          ,0, ,          ,,,,,#S6083525,        ,,0,0,  ,0,44000, ,0.62,27300,27300,,,,,,,0.62,27300,27300,19490,19490,11906,11906,,,20260915,0,,,, , , ,,, , , ,,,, , ,230007,28.6,0,1,447,,,,2609112379,川島　成喜,,,宅急便,立替元払い,,31,第２東京　渡邊,0,0,0,0,0,0,0,0,1,2026/9/15 13:11,2026/9/15 13:11,C     ,B,B1905       ,C10557052   ,第2/東京,埼玉,ALL,,
